Dismissal Session,Pickup Area,Date,AD Method,Grade,Time In,Time Out,Time In Clean,Time Out Clean,Time Difference,Diff Mins,Release,Diff Release,carpool_id,Level
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 14:01,11/2/22 14:24,14:01,14:24,0:23:00,23,11/2/2022 15:15:00,-74,110716,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 14:01,11/2/22 14:24,14:01,14:24,0:23:00,23,11/2/2022 15:15:00,-74,110716,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 14:11,11/2/22 14:19,14:11,14:19,0:08:00,8,11/2/2022 15:15:00,-64,110727,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 14:18,11/2/22 14:30,14:18,14:30,0:12:00,12,11/2/2022 15:15:00,-57,110747,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 14:38,11/2/22 15:19,14:38,15:19,0:41:00,41,11/2/2022 15:15:00,-37,110802,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 14:42,11/2/22 15:18,14:42,15:18,0:36:00,36,11/2/2022 15:15:00,-33,110816,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 14:43,11/2/22 14:51,14:43,14:51,0:08:00,8,11/2/2022 15:15:00,-32,110826,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 14:45,11/2/22 15:19,14:45,15:19,0:34:00,34,11/2/2022 15:15:00,-30,110832,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 14:51,11/2/22 15:19,14:51,15:19,0:28:00,28,11/2/2022 15:15:00,-24,110862,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 14:56,11/2/22 15:11,14:56,15:11,0:15:00,15,11/2/2022 15:15:00,-19,110878,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 14:58,11/2/22 15:31,14:58,15:31,0:33:00,33,11/2/2022 15:15:00,-17,110887,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 14:58,11/2/22 15:19,14:58,15:19,0:21:00,21,11/2/2022 15:15:00,-17,110891,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:00,11/2/22 15:23,15:00,15:23,0:23:00,23,11/2/2022 15:15:00,-15,110900,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:03,11/2/22 15:28,15:03,15:28,0:25:00,25,11/2/2022 15:15:00,-12,110917,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:07,11/2/22 15:20,15:07,15:20,0:13:00,13,11/2/2022 15:15:00,-8,110924,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:07,11/2/22 15:20,15:07,15:20,0:13:00,13,11/2/2022 15:15:00,-8,110924,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:07,11/2/22 15:21,15:07,15:21,0:14:00,14,11/2/2022 15:15:00,-8,110925,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:08,11/2/22 15:19,15:08,15:19,0:11:00,11,11/2/2022 15:15:00,-7,110927,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:10,11/2/22 15:24,15:10,15:24,0:14:00,14,11/2/2022 15:15:00,-5,110930,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:10,11/2/22 15:24,15:10,15:24,0:14:00,14,11/2/2022 15:15:00,-5,110930,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:10,11/2/22 15:24,15:10,15:24,0:14:00,14,11/2/2022 15:15:00,-5,110933,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:13,11/2/22 15:23,15:13,15:23,0:10:00,10,11/2/2022 15:15:00,-2,110938,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:13,11/2/22 15:23,15:13,15:23,0:10:00,10,11/2/2022 15:15:00,-2,110941,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:13,11/2/22 15:23,15:13,15:23,0:10:00,10,11/2/2022 15:15:00,-2,110943,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:15,11/2/22 15:24,15:15,15:24,0:09:00,9,11/2/2022 15:15:00,0,110946,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:15,11/2/22 15:22,15:15,15:22,0:07:00,7,11/2/2022 15:15:00,0,110947,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:17,11/2/22 15:24,15:17,15:24,0:07:00,7,11/2/2022 15:15:00,2,110952,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:17,11/2/22 15:25,15:17,15:25,0:08:00,8,11/2/2022 15:15:00,2,110954,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:18,11/2/22 15:25,15:18,15:25,0:07:00,7,11/2/2022 15:15:00,3,110955,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,12th Grade,11/2/22 15:18,11/2/22 15:25,15:18,15:25,0:07:00,7,11/2/2022 15:15:00,3,110956,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:20,11/2/22 15:26,15:20,15:26,0:06:00,6,11/2/2022 15:15:00,5,110968,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:21,11/2/22 15:24,15:21,15:24,0:03:00,3,11/2/2022 15:15:00,6,110969,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,12th Grade,11/2/22 15:21,11/2/22 15:24,15:21,15:24,0:03:00,3,11/2/2022 15:15:00,6,110969,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:22,11/2/22 15:35,15:22,15:35,0:13:00,13,11/2/2022 15:15:00,7,110975,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:22,11/2/22 15:34,15:22,15:34,0:12:00,12,11/2/2022 15:15:00,7,110976,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:22,11/2/22 15:29,15:22,15:29,0:07:00,7,11/2/2022 15:15:00,7,110977,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,12th Grade,11/2/22 15:23,11/2/22 15:31,15:23,15:31,0:08:00,8,11/2/2022 15:15:00,8,110979,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,12th Grade,11/2/22 15:24,11/2/22 15:27,15:24,15:27,0:03:00,3,11/2/2022 15:15:00,9,110980,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:24,11/3/22 15:26,15:24,15:26,24:02:00,1442,11/2/2022 15:15:00,9,110982,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,12th Grade,11/2/22 15:25,11/2/22 15:30,15:25,15:30,0:05:00,5,11/2/2022 15:15:00,10,110984,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:26,11/4/22 15:10,15:26,15:10,47:44:00,2864,11/2/2022 15:15:00,11,110986,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:28,11/2/22 15:31,15:28,15:31,0:03:00,3,11/2/2022 15:15:00,13,110987,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:29,11/2/22 15:33,15:29,15:33,0:04:00,4,11/2/2022 15:15:00,14,110989,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:34,11/2/22 15:47,15:34,15:47,0:13:00,13,11/2/2022 15:15:00,19,110999,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:38,11/7/22 15:44,15:38,15:44,120:06:00,7206,11/2/2022 15:15:00,23,111006,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,12th Grade,11/2/22 15:38,11/2/22 15:41,15:38,15:41,0:03:00,3,11/2/2022 15:15:00,23,111007,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:38,11/2/22 15:41,15:38,15:41,0:03:00,3,11/2/2022 15:15:00,23,111008,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,12th Grade,11/2/22 15:41,11/7/22 15:54,15:41,15:54,120:13:00,7213,11/2/2022 15:15:00,26,111014,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,12th Grade,11/2/22 15:41,11/2/22 15:49,15:41,15:49,0:08:00,8,11/2/2022 15:15:00,26,111017,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:42,11/2/22 15:44,15:42,15:44,0:02:00,2,11/2/2022 15:15:00,27,111018,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:43,11/2/22 15:47,15:43,15:47,0:04:00,4,11/2/2022 15:15:00,28,111021,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:43,11/2/22 15:47,15:43,15:47,0:04:00,4,11/2/2022 15:15:00,28,111021,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:44,11/2/22 15:49,15:44,15:49,0:05:00,5,11/2/2022 15:15:00,29,111025,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:46,11/2/22 15:58,15:46,15:58,0:12:00,12,11/2/2022 15:15:00,31,111028,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:47,11/2/22 15:52,15:47,15:52,0:05:00,5,11/2/2022 15:15:00,32,111032,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:48,11/2/22 15:52,15:48,15:52,0:04:00,4,11/2/2022 15:15:00,33,111035,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:49,11/2/22 15:53,15:49,15:53,0:04:00,4,11/2/2022 15:15:00,34,111037,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:51,11/2/22 15:56,15:51,15:56,0:05:00,5,11/2/2022 15:15:00,36,111048,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:51,11/3/22 15:42,15:51,15:42,23:51:00,1431,11/2/2022 15:15:00,36,111050,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,12th Grade,11/2/22 15:52,11/2/22 15:55,15:52,15:55,0:03:00,3,11/2/2022 15:15:00,37,111055,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:52,11/9/22 16:02,15:52,16:02,168:10:00,10090,11/2/2022 15:15:00,37,111056,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:53,11/16/22 16:25,15:53,16:25,336:32:00,20192,11/2/2022 15:15:00,38,111059,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,12th Grade,11/2/22 15:53,11/3/22 15:41,15:53,15:41,23:48:00,1428,11/2/2022 15:15:00,38,111060,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:56,11/3/22 14:26,15:56,14:26,22:30:00,1350,11/2/2022 15:15:00,41,111068,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,12th Grade,11/2/22 15:56,11/3/22 14:26,15:56,14:26,22:30:00,1350,11/2/2022 15:15:00,41,111068,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:56,11/3/22 15:58,15:56,15:58,24:02:00,1442,11/2/2022 15:15:00,41,111069,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,11th Grade,11/2/22 15:57,11/3/22 15:22,15:57,15:22,23:25:00,1405,11/2/2022 15:15:00,42,111071,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,9th Grade,11/2/22 15:57,11/3/22 15:22,15:57,15:22,23:25:00,1405,11/2/2022 15:15:00,42,111071,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:58,11/3/22 15:53,15:58,15:53,23:55:00,1435,11/2/2022 15:15:00,43,111073,HS
Daily Dismissal,Lower Loop,11/2/22 14:00,AUTO,10th Grade,11/2/22 15:58,11/3/22 15:55,15:58,15:55,23:57:00,1437,11/2/2022 15:15:00,43,111075,HS
