Dismissal Session,Pickup Area,Date,AD Method,Dismissal Location,Time In,Time Out,Time In Clean,Time Out Clean,Time Difference,Diff Min,Release,Diff Release,carpool_id,Level
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 13:31,11/2/22 14:23,13:31,14:23,0:52:00,52,11/2/2022 14:00:00,-29,110694,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 13:40,11/2/22 14:23,13:40,14:23,0:43:00,43,11/2/2022 14:00:00,-20,110695,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 13:40,11/2/22 14:23,13:40,14:23,0:43:00,43,11/2/2022 14:00:00,-20,110695,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,3rd Grade,11/2/22 13:42,11/2/22 13:59,13:42,13:59,0:17:00,17,11/2/2022 14:00:00,-18,110696,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 13:44,11/2/22 14:20,13:44,14:20,0:36:00,36,11/2/2022 14:00:00,-16,110697,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 13:47,11/2/22 14:21,13:47,14:21,0:34:00,34,11/2/2022 14:00:00,-13,110698,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 13:47,11/2/22 14:21,13:47,14:21,0:34:00,34,11/2/2022 14:00:00,-13,110698,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 13:47,11/2/22 14:19,13:47,14:19,0:32:00,32,11/2/2022 14:00:00,-13,110699,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 13:50,11/2/22 14:20,13:50,14:20,0:30:00,30,11/2/2022 14:00:00,-10,110700,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 13:51,11/2/22 14:20,13:51,14:20,0:29:00,29,11/2/2022 14:00:00,-9,110701,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 13:52,11/2/22 14:21,13:52,14:21,0:29:00,29,11/2/2022 14:00:00,-8,110702,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 13:55,11/2/22 14:21,13:55,14:21,0:26:00,26,11/2/2022 14:00:00,-5,110703,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 13:56,11/2/22 14:23,13:56,14:23,0:27:00,27,11/2/2022 14:00:00,-4,110704,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Bo,11/2/22 13:57,11/2/22 14:23,13:57,14:23,0:26:00,26,11/2/2022 14:00:00,-3,110705,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 13:57,11/2/22 14:13,13:57,14:13,0:16:00,16,11/2/2022 14:00:00,-3,110706,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 13:57,11/2/22 14:22,13:57,14:22,0:25:00,25,11/2/2022 14:00:00,-3,110707,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 13:57,11/2/22 14:24,13:57,14:24,0:27:00,27,11/2/2022 14:00:00,-3,110708,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 13:58,11/2/22 14:23,13:58,14:23,0:25:00,25,11/2/2022 14:00:00,-2,110709,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 13:58,11/2/22 14:23,13:58,14:23,0:25:00,25,11/2/2022 14:00:00,-2,110710,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 13:58,11/2/22 14:23,13:58,14:23,0:25:00,25,11/2/2022 14:00:00,-2,110710,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 13:59,11/2/22 14:23,13:59,14:23,0:24:00,24,11/2/2022 14:00:00,-1,110711,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 13:59,11/2/22 14:24,13:59,14:24,0:25:00,25,11/2/2022 14:00:00,-1,110712,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Bo,11/2/22 14:00,11/2/22 14:25,14:00,14:25,0:25:00,25,11/2/2022 14:00:00,0,110713,ES
